stake,return,profit,capital_after,result,match_id,kickoff_time,odds,edge,y_true,y_pred,task
100.0,91.0,91.0,10091.0,win,d1c8c369bec6,2022-10-01 02:30:00,1.9100000000000001,0.19342886066075737,1,1,over_under
100.0,93.0,93.0,10184.0,win,0aafcbff23dd,2022-10-01 03:00:00,1.9300000000000002,0.12825221788133323,1,1,over_under
100.0,-100.0,-100.0,10084.0,lose,d7876a6b3736,2022-10-01 03:00:00,1.9100000000000001,-0.00396994819141494,1,0,over_under
100.0,-100.0,-100.0,9984.0,lose,a36dbdc0df22,2022-10-01 19:30:00,1.9100000000000001,0.1948410191067803,1,0,over_under
100.0,-100.0,-100.0,9884.0,lose,6df862dc6403,2022-10-01 20:00:00,1.98,0.09366511660143761,0,1,over_under
100.0,85.0,85.0,9969.0,win,cf9cf168e03b,2022-10-01 21:00:00,1.85,0.07750167404718633,1,1,over_under
100.0,-100.0,-100.0,9869.0,lose,e652f676c4b9,2022-10-01 21:30:00,1.88,0.03760187724262143,1,0,over_under
100.0,103.0,103.0,9972.0,win,e2bb5c4ca995,2022-10-01 21:30:00,2.0300000000000002,0.2798259532976534,0,0,over_under
100.0,95.0,95.0,10067.0,win,a98252a68577,2022-10-01 21:30:00,1.95,0.20449785123952358,1,1,over_under
100.0,-100.0,-100.0,9967.0,lose,8141115336d4,2022-10-01 21:30:00,1.94,0.05056854040565839,1,0,over_under
100.0,94.0,94.0,10061.0,win,0d987835f57c,2022-10-01 21:30:00,1.94,0.05308199689917126,1,1,over_under
100.0,-100.0,-100.0,9961.0,lose,3ff7e3b5e184,2022-10-01 22:00:00,2.05,0.08955673608954534,0,1,over_under
100.0,101.0,101.0,10062.0,win,d15e8d7d8576,2022-10-01 22:00:00,2.01,0.17149203207266545,1,1,over_under
100.0,-100.0,-100.0,9962.0,lose,d7e315f97823,2022-10-01 22:00:00,1.92,0.06213456272180984,1,0,over_under
100.0,102.0,102.0,10064.0,win,d2ffd6751382,2022-10-01 22:00:00,2.02,0.06462883284415244,1,1,over_under
100.0,-100.0,-100.0,9964.0,lose,9e033d6139f7,2022-10-01 22:00:00,1.9300000000000002,0.12064646577483629,1,0,over_under
100.0,-100.0,-100.0,9864.0,lose,49ec2a875d79,2022-10-01 22:15:00,2.01,0.21112176850140257,1,0,over_under
100.0,-100.0,-100.0,9764.0,lose,3e7bb40cd972,2022-10-01 23:00:00,2.02,0.1764008672441323,1,0,over_under
100.0,90.0,90.0,9854.0,win,9b0029302812,2022-10-02 00:00:00,1.9,0.13941624323159874,1,1,over_under
100.0,83.0,83.0,9937.0,win,3a1822d2c3d6,2022-10-02 00:30:00,1.83,-0.025951929031778564,0,0,over_under
100.0,80.0,80.0,10017.0,win,72786a499087,2022-10-02 00:30:00,1.8,0.2643568120918006,1,1,over_under
100.0,-100.0,-100.0,9917.0,lose,ad532e535c3a,2022-10-02 00:30:00,1.8199999999999998,0.037881888089472016,0,1,over_under
100.0,82.0,82.0,9999.0,win,aba227e96a55,2022-10-02 02:45:00,1.8199999999999998,0.0597177941788708,1,1,over_under
100.0,106.0,106.0,10105.0,win,afe8c1c3cc8b,2022-10-02 03:00:00,2.06,0.14852615290414495,0,0,over_under
100.0,100.0,100.0,10205.0,win,48ef0964089c,2022-10-02 03:00:00,2.0,0.12378732386454966,1,1,over_under
100.0,-100.0,-100.0,10105.0,lose,8a7fb8301a97,2022-10-02 18:30:00,1.85,-0.0336012672291216,1,0,over_under
100.0,99.0,99.0,10204.0,win,914c0133a008,2022-10-02 19:00:00,1.99,0.07358717699715767,1,1,over_under
100.0,-100.0,-100.0,10104.0,lose,576b00f0f95e,2022-10-02 20:00:00,2.1,0.12102599039195583,1,0,over_under
100.0,94.0,94.0,10198.0,win,f42e455a553f,2022-10-02 21:00:00,1.94,0.17564892374931673,1,1,over_under
100.0,-100.0,-100.0,10098.0,lose,6d0a3e6d98df,2022-10-02 21:00:00,2.04,0.16387401571082783,0,1,over_under
100.0,-100.0,-100.0,9998.0,lose,95f17303eb06,2022-10-02 21:00:00,1.9300000000000002,0.033101729570865546,1,0,over_under
100.0,105.0,105.0,10103.0,win,caedbd032d4f,2022-10-02 21:00:00,2.05,0.05335557055908119,1,1,over_under
100.0,97.0,97.0,10200.0,win,48451256eac9,2022-10-02 21:00:00,1.97,0.08203240483711871,1,1,over_under
100.0,-100.0,-100.0,10100.0,lose,47093292a17d,2022-10-02 21:00:00,2.0300000000000002,0.061769011976567756,0,1,over_under
100.0,95.0,95.0,10195.0,win,52dc68522846,2022-10-02 21:00:00,1.95,0.03799120618351093,1,1,over_under
100.0,-100.0,-100.0,10095.0,lose,d9c0df488938,2022-10-02 21:00:00,1.99,0.1329752663865963,1,0,over_under
100.0,-100.0,-100.0,9995.0,lose,468251a96d07,2022-10-02 21:30:00,2.05,0.24972584201915954,0,1,over_under
100.0,94.0,94.0,10089.0,win,c0fe88bf535f,2022-10-02 22:15:00,1.94,0.10285978188296674,0,0,over_under
100.0,108.0,108.0,10197.0,win,1f55d9c4393a,2022-10-02 23:00:00,2.08,0.09880955192783297,1,1,over_under
100.0,-100.0,-100.0,10097.0,lose,f2370c0885df,2022-10-02 23:30:00,1.97,0.058638570874118834,0,1,over_under
100.0,-100.0,-100.0,9997.0,lose,cb46903276b8,2022-10-02 23:30:00,1.88,0.27050097538028184,1,0,over_under
100.0,114.0,114.0,10111.0,win,7a09c6d5f8d6,2022-10-03 00:00:00,2.1399999999999997,0.1733008277209781,0,0,over_under
100.0,-100.0,-100.0,10011.0,lose,99bb38e49b0e,2022-10-03 00:30:00,1.96,0.1714100009321904,1,0,over_under
100.0,-100.0,-100.0,9911.0,lose,86c51041c8bd,2022-10-03 02:45:00,1.8599999999999999,-0.0024157463261079704,1,0,over_under
100.0,-100.0,-100.0,9811.0,lose,caa35c40eb1f,2022-10-03 02:45:00,2.0,0.23072115086883965,0,1,over_under
100.0,-100.0,-100.0,9711.0,lose,57c488711910,2022-10-03 03:00:00,1.98,0.09908205268415293,0,1,over_under
100.0,92.0,92.0,9803.0,win,d0aeb2b41e3e,2022-10-04 02:45:00,1.92,0.015349892231272033,1,1,over_under
100.0,-100.0,-100.0,9703.0,lose,9069a04cdb60,2022-10-04 03:00:00,2.0,0.16439598929398608,1,0,over_under
100.0,90.0,90.0,9793.0,win,7c7f18e44f9f,2022-10-04 03:00:00,1.9,0.08807441855330855,1,1,over_under
100.0,-100.0,-100.0,9693.0,lose,6d6209dcdaa1,2022-10-06 00:45:00,2.05,0.12410272749227808,0,1,over_under
100.0,-100.0,-100.0,9593.0,lose,34f2268bcbd7,2022-10-06 00:45:00,1.87,0.0717174109733415,1,0,over_under
100.0,-100.0,-100.0,9493.0,lose,c79839262f88,2022-10-06 03:00:00,2.02,0.19185503392674752,0,1,over_under
100.0,-100.0,-100.0,9393.0,lose,f84c77632332,2022-10-06 03:00:00,1.97,0.02508295521653736,1,0,over_under
100.0,100.0,100.0,9493.0,win,5a150fc6c780,2022-10-06 03:00:00,2.0,0.10448471641810081,1,1,over_under
100.0,-100.0,-100.0,9393.0,lose,c911c3f41a91,2022-10-06 03:00:00,1.99,0.08486456896985672,1,0,over_under
100.0,102.0,102.0,9495.0,win,15dce4cce085,2022-10-06 03:00:00,2.02,0.2818641539298685,1,1,over_under
100.0,92.0,92.0,9587.0,win,1d415a84d40d,2022-10-06 03:00:00,1.92,0.3109098941844529,1,1,over_under
100.0,-100.0,-100.0,9487.0,lose,71ea3582040f,2022-10-08 02:30:00,1.92,0.0357416094780425,1,0,over_under
100.0,-100.0,-100.0,9387.0,lose,1b7b6517beea,2022-10-08 03:00:00,1.88,0.041309310137360056,0,1,over_under
100.0,-100.0,-100.0,9287.0,lose,37bff36c6057,2022-10-08 03:00:00,1.94,0.09985358763239416,1,0,over_under
100.0,-100.0,-100.0,9187.0,lose,883e8e15d169,2022-10-08 20:00:00,1.9300000000000002,0.2679311275071212,1,0,over_under
100.0,87.0,87.0,9274.0,win,68ec43f02be7,2022-10-08 21:00:00,1.87,0.10066698542810915,1,1,over_under
100.0,75.0,75.0,9349.0,win,c7118cc5afb2,2022-10-08 21:30:00,1.75,-0.07315882256677586,1,1,over_under
100.0,-100.0,-100.0,9249.0,lose,89dfa8d0c0b0,2022-10-08 21:30:00,2.01,0.12858864278009047,0,1,over_under
100.0,84.0,84.0,9333.0,win,50e74aeb261a,2022-10-08 21:30:00,1.8399999999999999,-0.05756229482404829,1,1,over_under
100.0,102.0,102.0,9435.0,win,cbc17525c071,2022-10-08 21:30:00,2.02,0.16083478748733582,0,0,over_under
100.0,85.0,85.0,9520.0,win,fba7dfeaf4db,2022-10-08 22:00:00,1.85,0.03181914364930638,1,1,over_under
100.0,-100.0,-100.0,9420.0,lose,cbfd63c239a5,2022-10-08 22:00:00,1.97,0.08709062495545417,1,0,over_under
100.0,84.0,84.0,9504.0,win,d9c29db3f648,2022-10-08 22:00:00,1.8399999999999999,0.22205594400496875,1,1,over_under
100.0,-100.0,-100.0,9404.0,lose,f8c36e973816,2022-10-08 22:00:00,2.06,0.18501975897239853,1,0,over_under
100.0,102.0,102.0,9506.0,win,740e43c409f2,2022-10-08 22:15:00,2.02,0.10328159291731387,1,1,over_under
100.0,102.0,102.0,9608.0,win,34b2d1a16da7,2022-10-08 23:00:00,2.02,0.13619572823868398,1,1,over_under
100.0,97.0,97.0,9705.0,win,67ad7d5203bb,2022-10-09 00:00:00,1.97,0.17327803925971053,0,0,over_under
100.0,90.0,90.0,9795.0,win,16113179627a,2022-10-09 00:30:00,1.9,0.10068933322884688,0,0,over_under
100.0,95.0,95.0,9890.0,win,6d2b8788ddf7,2022-10-09 00:30:00,1.95,0.026326434120139353,1,1,over_under
100.0,89.0,89.0,9979.0,win,626d519134ed,2022-10-09 00:30:00,1.8900000000000001,-0.02911494950503124,0,0,over_under
100.0,96.0,96.0,10075.0,win,e4e277e3c66f,2022-10-09 02:45:00,1.96,0.08669890154929927,0,0,over_under
100.0,-100.0,-100.0,9975.0,lose,dacdb57a5942,2022-10-09 03:00:00,1.94,0.20937050757131348,0,1,over_under
100.0,-100.0,-100.0,9875.0,lose,790c7f405edf,2022-10-09 03:00:00,2.0700000000000003,0.1633017341328704,0,1,over_under
100.0,89.0,89.0,9964.0,win,eadea689941f,2022-10-09 18:30:00,1.8900000000000001,0.1160282233368849,0,0,over_under
100.0,-100.0,-100.0,9864.0,lose,789f67244728,2022-10-09 19:00:00,1.9100000000000001,0.11920583135019458,0,1,over_under
100.0,-100.0,-100.0,9764.0,lose,5f877730d4fe,2022-10-09 20:00:00,1.95,0.06550565603332015,0,1,over_under
100.0,86.0,86.0,9850.0,win,1943ca8c6d31,2022-10-09 21:00:00,1.8599999999999999,0.2537248943712189,1,1,over_under
100.0,86.0,86.0,9936.0,win,a6d938dc6c76,2022-10-09 21:00:00,1.8599999999999999,0.0314830684258629,1,1,over_under
100.0,-100.0,-100.0,9836.0,lose,677a753f4281,2022-10-09 21:00:00,1.8599999999999999,0.08962720933700796,1,0,over_under
100.0,-100.0,-100.0,9736.0,lose,c4c8e387dd46,2022-10-09 21:00:00,1.83,-0.04051287924765912,0,1,over_under
100.0,105.0,105.0,9841.0,win,af9096fa7fc4,2022-10-09 21:00:00,2.05,0.11832050640218456,1,1,over_under
100.0,-100.0,-100.0,9741.0,lose,d56598edcde0,2022-10-09 21:00:00,1.9100000000000001,-0.014029640096413942,1,0,over_under
100.0,86.0,86.0,9827.0,win,49d5e92c2ef1,2022-10-09 21:00:00,1.8599999999999999,-0.02019608632125347,1,1,over_under
100.0,-100.0,-100.0,9727.0,lose,c8fce6c3c016,2022-10-09 21:00:00,1.98,0.17814326318638507,1,0,over_under
100.0,108.0,108.0,9835.0,win,cea8cc6890be,2022-10-09 21:00:00,2.08,0.15162180820379517,1,1,over_under
100.0,85.0,85.0,9920.0,win,fa7e1ffe375d,2022-10-09 21:30:00,1.85,-0.04318536083288893,1,1,over_under
100.0,-100.0,-100.0,9820.0,lose,1eb4ca197d19,2022-10-09 22:15:00,1.9300000000000002,0.021340600352854455,1,0,over_under
100.0,-100.0,-100.0,9720.0,lose,da4c9b745f4c,2022-10-09 23:00:00,1.76,-0.0755285421785169,1,0,over_under
100.0,104.0,104.0,9824.0,win,cf729f17d92a,2022-10-09 23:30:00,2.04,0.13895835175855276,1,1,over_under
100.0,85.0,85.0,9909.0,win,a8b5533b5f47,2022-10-09 23:30:00,1.85,0.25059007629113184,1,1,over_under
100.0,-100.0,-100.0,9809.0,lose,cc74331f4530,2022-10-10 00:00:00,1.97,0.15550697301586458,1,0,over_under
100.0,-100.0,-100.0,9709.0,lose,ce607c30d5e5,2022-10-10 00:30:00,1.95,0.20176967786498368,0,1,over_under
100.0,101.0,101.0,9810.0,win,2d6cfb67cd13,2022-10-10 01:30:00,2.01,0.262331381343118,0,0,over_under
100.0,-100.0,-100.0,9710.0,lose,ecc52dbe295f,2022-10-10 02:00:00,2.01,0.03265606113270575,1,0,over_under
100.0,89.0,89.0,9799.0,win,9a19dec58886,2022-10-10 02:45:00,1.8900000000000001,0.170276299842679,1,1,over_under
100.0,-100.0,-100.0,9699.0,lose,ee9f7f4af5cf,2022-10-10 02:45:00,1.95,0.025446162112658155,0,1,over_under
