stake,return,profit,capital_after,result,match_id,kickoff_time,odds,edge,y_true,y_pred,task
100.0,104.0,104.0,10104.0,win,d1c8c369bec6,2022-10-01 02:30:00,2.04,0.5240430969940989,2,2,asian
100.0,105.0,105.0,10209.0,win,0aafcbff23dd,2022-10-01 03:00:00,2.05,0.5495187263739736,2,2,asian
100.0,87.0,87.0,10296.0,win,d7876a6b3736,2022-10-01 03:00:00,1.87,0.2702768388547395,0,0,asian
100.0,108.0,108.0,10404.0,win,a36dbdc0df22,2022-10-01 19:30:00,2.08,0.43078659647389467,2,2,asian
100.0,84.0,84.0,10488.0,win,6df862dc6403,2022-10-01 20:00:00,1.8399999999999999,0.2843734320841338,0,0,asian
100.0,100.0,100.0,10588.0,win,cf9cf168e03b,2022-10-01 21:00:00,2.0,0.5153944900161342,2,2,asian
100.0,90.0,90.0,10678.0,win,e652f676c4b9,2022-10-01 21:30:00,1.9,0.40635313485798086,2,2,asian
100.0,94.0,94.0,10772.0,win,e2bb5c4ca995,2022-10-01 21:30:00,1.94,0.39200448174225666,2,2,asian
100.0,-100.0,-100.0,10672.0,lose,a98252a68577,2022-10-01 21:30:00,1.96,0.37609101157439384,2,0,asian
100.0,89.0,89.0,10761.0,win,8141115336d4,2022-10-01 21:30:00,1.8900000000000001,0.27894903295918516,2,2,asian
100.0,94.0,94.0,10855.0,win,0d987835f57c,2022-10-01 21:30:00,1.94,0.49052958864914753,2,2,asian
100.0,86.0,86.0,10941.0,win,3ff7e3b5e184,2022-10-01 22:00:00,1.8599999999999999,0.23545824101096702,0,0,asian
100.0,87.0,87.0,11028.0,win,d15e8d7d8576,2022-10-01 22:00:00,1.87,0.3432543817319368,0,0,asian
100.0,-100.0,-100.0,10928.0,lose,d7e315f97823,2022-10-01 22:00:00,1.97,0.07990880451704319,0,2,asian
100.0,103.0,103.0,11031.0,win,d2ffd6751382,2022-10-01 22:00:00,2.0300000000000002,0.5406156834803129,2,2,asian
100.0,-100.0,-100.0,10931.0,lose,9e033d6139f7,2022-10-01 22:00:00,1.88,0.2956270600620068,0,2,asian
100.0,-100.0,-100.0,10831.0,lose,49ec2a875d79,2022-10-01 22:15:00,2.1,0.46011728362033244,0,2,asian
100.0,81.0,81.0,10912.0,win,3e7bb40cd972,2022-10-01 23:00:00,1.81,-0.0684693405502721,0,0,asian
100.0,-100.0,-100.0,10812.0,lose,9b0029302812,2022-10-02 00:00:00,1.83,0.2604825113949022,0,2,asian
100.0,97.0,97.0,10909.0,win,3a1822d2c3d6,2022-10-02 00:30:00,1.97,0.47197838268781955,2,2,asian
100.0,102.0,102.0,11011.0,win,72786a499087,2022-10-02 00:30:00,2.02,0.06876659142343622,2,2,asian
100.0,83.0,83.0,11094.0,win,ad532e535c3a,2022-10-02 00:30:00,1.83,-0.06891677630575088,0,0,asian
100.0,96.0,96.0,11190.0,win,aba227e96a55,2022-10-02 02:45:00,1.96,0.4865131459738079,0,0,asian
100.0,83.0,83.0,11273.0,win,afe8c1c3cc8b,2022-10-02 03:00:00,1.83,0.43341531502573105,0,0,asian
100.0,86.0,86.0,11359.0,win,48ef0964089c,2022-10-02 03:00:00,1.8599999999999999,0.45105539372092796,2,2,asian
100.0,82.0,82.0,11441.0,win,8a7fb8301a97,2022-10-02 18:30:00,1.8199999999999998,0.4289153946073432,2,2,asian
100.0,85.0,85.0,11526.0,win,914c0133a008,2022-10-02 19:00:00,1.85,0.03309933135384002,2,2,asian
100.0,97.0,97.0,11623.0,win,f42e455a553f,2022-10-02 21:00:00,1.97,0.5070967837383872,2,2,asian
100.0,85.0,85.0,11708.0,win,6d0a3e6d98df,2022-10-02 21:00:00,1.85,0.07214448640221038,2,2,asian
100.0,-100.0,-100.0,11608.0,lose,95f17303eb06,2022-10-02 21:00:00,2.2,0.508456268149954,0,2,asian
100.0,96.0,96.0,11704.0,win,caedbd032d4f,2022-10-02 21:00:00,1.96,0.25818414311659965,2,2,asian
100.0,-100.0,-100.0,11604.0,lose,48451256eac9,2022-10-02 21:00:00,1.9,0.02529396508869375,0,2,asian
0.0,0.0,0.0,11604.0,push,47093292a17d,2022-10-02 21:00:00,2.02,,1,0,asian
100.0,97.0,97.0,11701.0,win,52dc68522846,2022-10-02 21:00:00,1.97,0.2131027146389609,2,2,asian
0.0,0.0,0.0,11701.0,push,d9c0df488938,2022-10-02 21:00:00,1.95,,1,0,asian
100.0,99.0,99.0,11800.0,win,468251a96d07,2022-10-02 21:30:00,1.99,0.21164188071301104,0,0,asian
100.0,103.0,103.0,11903.0,win,c0fe88bf535f,2022-10-02 22:15:00,2.0300000000000002,0.44002581207375774,2,2,asian
100.0,91.0,91.0,11994.0,win,1f55d9c4393a,2022-10-02 23:00:00,1.9100000000000001,0.42093571738192914,2,2,asian
0.0,0.0,0.0,11994.0,push,f2370c0885df,2022-10-02 23:30:00,1.9300000000000002,,1,2,asian
100.0,-100.0,-100.0,11894.0,lose,cb46903276b8,2022-10-02 23:30:00,2.04,0.24457879254692483,0,2,asian
100.0,109.0,109.0,12003.0,win,7a09c6d5f8d6,2022-10-03 00:00:00,2.09,0.44531547521290027,2,2,asian
100.0,82.0,82.0,12085.0,win,99bb38e49b0e,2022-10-03 00:30:00,1.8199999999999998,0.3265196216733832,0,0,asian
100.0,85.0,85.0,12170.0,win,86c51041c8bd,2022-10-03 02:45:00,1.85,0.4374764342057077,2,2,asian
100.0,-100.0,-100.0,12070.0,lose,caa35c40eb1f,2022-10-03 02:45:00,1.83,-0.11708635938794998,2,0,asian
100.0,103.0,103.0,12173.0,win,57c488711910,2022-10-03 03:00:00,2.0300000000000002,0.5402197298250699,2,2,asian
