match_id,league_code,home_team,away_team,disagreement_line_std,disagreement_water_std,disagreement_level,disagreement_outlier,bookmaker_line_mean,bookmaker_line_std
d95e48f07689,LLG,皇家社会,马德里竞技,0.0,0.020816659994661344,一致,无异常,0.0,0.0
fd22894e658c,EPL,阿斯顿维拉,曼彻斯特城,0.0,0.010000000000000009,一致,无异常,-1.5,0.0
aca18350ff2e,BUN,法兰克福,RB莱比锡,0.0,0.017320508075688787,一致,无异常,-0.5,0.0
6594dbc24624,FL1,里昂,昂热,0.0,0.06027713773341708,一致,无异常,1.5,0.0
f60b9e378a13,ISA,拉齐奥,那不勒斯,0.14433756729740646,0.15620499351813316,轻微分歧,Bet365异类(+0.00 vs 中位数-0.25),-0.16666666666666666,0.14433756729740646
47e15b4a5046,LLG,塞维利亚,巴塞罗那,0.14433756729740643,0.1752141546793523,轻微分歧,Bet365异类(-0.25 vs 中位数-0.50),-0.4166666666666667,0.14433756729740643
f08e1038df2f,FL1,南特,巴黎圣日耳曼,0.0,0.08082903768654762,一致,无异常,-1.75,0.0
292b4d387e8c,ISA,克雷莫纳,萨索洛,0.0,0.07810249675906655,一致,无异常,-0.25,0.0
b8a8925da0dd,FL1,蒙彼利埃,里尔,0.0,0.05291502622129186,一致,无异常,-0.25,0.0
3a0aa16d7792,LLG,奥萨苏纳,巴列卡诺,0.14433756729740643,0.15132745950421556,轻微分歧,Bet365异类(+0.25 vs 中位数+0.50),0.4166666666666667,0.14433756729740643
55466d7a6339,FL1,兰斯,朗斯,0.0,0.052915026221291864,一致,无异常,-0.25,0.0
bdfb0f27d597,EPL,布莱顿,莱斯特城,0.14433756729740646,0.0981495457622364,轻微分歧,Bet365异类(+0.75 vs 中位数+0.50),0.5833333333333334,0.14433756729740646
9e927ddbbd8e,ISA,斯佩齐亚,博洛尼亚,0.14433756729740646,0.2569695182961071,轻微分歧,Bet365异类(+0.00 vs 中位数-0.25),-0.16666666666666666,0.14433756729740646
dd3521c8df73,FL1,阿雅克肖,洛里昂,0.0,0.040414518843273836,一致,无异常,0.25,0.0
ca15b33285c1,FL1,布雷斯特,斯特拉斯堡,0.0,0.010000000000000009,一致,无异常,-0.25,0.0
e1899e666a26,FL1,克莱蒙,图卢兹,0.0,0.10016652800877816,一致,无异常,0.0,0.0
